Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2019-01-27T07:44:02.359Z, shoulders, r, 98.59526, 150.70798, 10.5
2019-01-27T07:43:42.285Z, quads, l, 99.223915, 167.26642, 9
2019-01-27T07:43:23.843Z, quads, r, 99.08352, 165.65271, 7.7
2019-01-27T07:42:59.084Z, lower_back, l, 99.18994, 155.03252, 8.8
2019-01-27T07:42:40.140Z, lower_back, r, 99.77764, 165.49423, 7.6
2019-01-27T07:42:25.200Z, hamstrings, l, 99.76467, 166.19072, 8.1
2019-01-27T07:42:04.323Z, hamstrings, r, 99.747536, 165.67801, 8.4
2019-01-27T07:41:34.308Z, glutes, l, 94.054474, 130.08992, 13.5
2019-01-27T07:40:54.889Z, glutes, r, 97.96408, 138.94269, 11.7
2019-01-27T07:40:28.612Z, forearms, l, 86.384895, 126.15024, 9.5
2019-01-27T07:40:14.302Z, forearms, r, 88.684975, 127.023285, 9.5
2019-01-27T07:39:57.198Z, chest, l, 99.4792, 169.19968, 8.8
2019-01-27T07:39:09.279Z, chest, r, 99.24584, 165.53203, 9.1
2019-01-27T07:38:48.491Z, calves, l, 99.77856, 148.0614, 9.1
2019-01-27T07:38:28.098Z, calves, r, 98.65466, 140.27159, 8.9
2019-01-27T07:38:11.583Z, biceps, l, 96.75105, 140.91626, 8.9
2019-01-27T07:37:54.256Z, biceps, r, 91.90317, 136.17055, 10.2
2019-01-27T07:37:39.638Z, abs, l, 98.47899, 164.76883, 7.6
2019-01-27T07:37:22.986Z, abs, r, 98.856094, 168.30498, 7.2
2019-01-20T08:31:15.552Z, total, r, 99.42634, 161.84123, 9.1
2019-01-20T08:31:13.627Z, upper_back, l, 99.42275, 159.17508, 7.7
2019-01-20T08:30:49.685Z, upper_back, r, 98.069954, 152.65488, 8.4
2019-01-20T08:30:16.612Z, triceps, l, 95.44896, 149.39554, 11.7
2019-01-20T08:29:49.255Z, triceps, r, 98.252754, 157.14632, 10.4
2019-01-20T08:29:27.250Z, shoulders, l, 96.862366, 145.39825, 9.9
2019-01-20T08:29:02.995Z, shoulders, r, 99.02589, 153.0653, 9.4
2019-01-20T08:28:45.850Z, quads, l, 99.11503, 165.99268, 8.5
2019-01-20T08:28:29.159Z, quads, r, 98.92098, 164.06207, 8.7
2019-01-20T08:27:51.266Z, lower_back, l, 98.79047, 151.74352, 9.3
2019-01-20T08:27:34.436Z, lower_back, r, 99.41306, 157.65546, 8
2019-01-20T08:27:18.236Z, hamstrings, l, 99.19324, 157.15344, 9
2019-01-20T08:27:01.540Z, hamstrings, r, 99.41941, 159.58032, 8.9
2019-01-20T08:26:40.703Z, glutes, l, 97.98431, 139.02158, 11.7
2019-01-20T08:26:15.639Z, glutes, r, 97.55113, 137.47559, 11.6
2019-01-20T08:25:57.551Z, forearms, l, 74.72559, 122.41768, 10.6
2019-01-20T08:25:40.093Z, forearms, r, 86.96656, 126.36301, 10.3
2019-01-20T08:25:11.293Z, chest, l, 99.33255, 166.7444, 8.6
2019-01-20T08:24:56.127Z, chest, r, 99.21154, 165.08975, 9.1
2019-01-20T08:24:29.578Z, calves, l, 96.60842, 136.11067, 10.1
2019-01-20T08:24:12.974Z, calves, r, 95.93793, 135.26543, 10.5
2019-01-20T08:23:56.054Z, biceps, l, 95.91006, 139.77618, 9.7
2019-01-20T08:23:40.933Z, biceps, r, 95.2661, 139.03677, 10.5
2019-01-20T08:23:27.884Z, abs, l, 97.033905, 156.29504, 8.5
2019-01-20T08:23:07.771Z, abs, r, 98.422714, 164.3153, 7.4
2019-01-13T07:59:57.094Z, total, r, 99.09833, 158.15666, 9.7
2019-01-13T07:59:50.919Z, upper_back, l, 99.11082, 156.8652, 8.6
2019-01-13T07:59:19.510Z, upper_back, r, 98.09681, 152.73215, 8.3
2019-01-13T07:58:51.885Z, triceps, l, 97.47358, 154.22624, 10.4
